index,batch_size,lr,max_epochs,module__dropout,optimizer,test_accuracy,test_f1,test_precision,test_recall,time_min,fold_id
101,32,0.01,15,0.2,adam,0.502,0.0,0.0,0.0,72.2,20
102,32,0.01,15,0.2,adam,0.502,0.0,0.0,0.0,75.4,20
103,32,0.01,15,0.2,adam,0.502,0.0,0.0,0.0,75.8,20
104,32,0.01,15,0.2,adam,0.498,0.665,0.498,1.0,44.6,20
105,32,0.01,15,0.2,sgd,0.931,0.931,0.926,0.936,36.8,21
106,32,0.01,15,0.2,sgd,0.926,0.926,0.923,0.93,38.0,21
107,32,0.01,15,0.2,sgd,0.929,0.93,0.911,0.95,37.4,21
108,32,0.01,15,0.2,sgd,0.935,0.935,0.93,0.939,35.2,21
109,32,0.01,15,0.2,sgd,0.895,0.895,0.892,0.899,34.4,21
110,32,0.001,5,0.0,sgd,0.701,0.686,0.718,0.657,14.5,22
111,32,0.001,5,0.0,sgd,0.751,0.77,0.714,0.835,14.5,22
112,32,0.001,5,0.0,sgd,0.692,0.75,0.63,0.928,14.5,22
113,32,0.001,5,0.0,sgd,0.748,0.775,0.699,0.87,14.5,22
114,32,0.001,5,0.0,sgd,0.744,0.765,0.706,0.835,10.4,22
115,32,0.001,5,0.2,sgd,0.757,0.77,0.729,0.817,10.5,23
116,32,0.001,5,0.2,sgd,0.624,0.697,0.583,0.866,10.5,23
117,32,0.001,5,0.2,sgd,0.542,0.684,0.521,0.996,10.5,23
118,32,0.001,5,0.2,sgd,0.727,0.764,0.671,0.886,10.3,23
119,32,0.001,5,0.2,sgd,0.656,0.702,0.618,0.811,10.1,23
120,32,0.001,15,0.0,sgd,0.84,0.849,0.802,0.902,29.3,24
121,32,0.001,15,0.0,sgd,0.86,0.866,0.83,0.906,29.3,24
122,32,0.001,15,0.0,sgd,0.858,0.867,0.817,0.923,29.8,24
123,32,0.001,15,0.0,sgd,0.823,0.834,0.781,0.896,29.8,24
124,32,0.001,15,0.0,sgd,0.857,0.864,0.822,0.91,33.0,24
125,32,0.001,15,0.2,sgd,0.825,0.837,0.783,0.899,33.0,25
126,32,0.001,15,0.2,sgd,0.856,0.863,0.823,0.906,48.4,25
127,32,0.001,15,0.2,sgd,0.846,0.857,0.795,0.93,48.4,25
128,32,0.001,15,0.2,sgd,0.794,0.803,0.768,0.841,48.8,25
129,32,0.001,15,0.2,sgd,0.832,0.836,0.817,0.855,48.7,25
